Antibody or target protein:ÿThe antibody to a specific protein. Used in immuno-precipitation to target certain fractions of biological interest.,,,,,,,,,
antibody,AntibodyDescription,Target,TargetDescription,VendorID,Lab,Documents,Lots,Target Link,Label
ARID3A_(sc-8821),Goat polyclonal affinity purified antibody raised against a peptide mapping at the N-terminus of ARID3A of human origin. Antibody Target: ARID3A,ARID3A,"This gene encodes a member of the ARID (AT-rich interaction domain) family of DNA binding proteins. It was found by homology to the Drosophila dead ringer gene, which is important for normal embryogenesis. Other ARID family members have roles in embryonic patterning, cell lineage gene regulation, cell cycle control, transcriptional regulation, and possibly in chromatin structure modification. (provided by RefSeq)",Santa Cruz Biotechnology sc-8821,Snyder,"Human - ARID3A (sc-8821)(Immunoprecipitation,ChIP-seq) ÿ",B100,GeneCard:ARID3A,ARID3A (sc-8821)
TAL1_(SC-12984),Goat polyclonal antibody affinity purified; epitope mapping at the C-terminus of TAL1 of human origin. Antibody Target: TAL1,TAL1,TAL1 (also designated SCL) is a serine phosphoprotein and basic helix-loop-helix transcription factor known to regulate embryonic hematopoiesis.,Santa Cruz Biotechnology sc-12984,"Hardison, Snyder","Human - TAL1(Immunoprecipitation,IP-MassSpec)",J2209,GeneCard:TAL1,TAL1 (sc-12984)
,,,,,,Mouse - TAL1(Western blot) ÿ,,,
HDAC1_(SC-6298),"Goat polyclonal IgG affinity purified, 200 micrograms/ml, epitope mapping at the C-terminus of HDAC1 of human origin. Antibody Target: HDAC1",HDAC1,"Histone deacetylase 1 (HDAC1) is a class I histone deacetylase that catalyzes the removal of the acetyl group on lysine residues of the N-terminus of the core histones H2A, H2B, H3, and H4. HDAC1 is a component of multiple deacetylating complexes such as Sin3, NuRD, and CoRest that function to repress gene transcription. Alternate names for HDAC1 include RPD3L1, HD1, GON-10, and DKFZp686H12203.",Santa Cruz Biotechnology sc-6298,Bernstein,"Human - HDAC1 (sc-6298)(Western blot,ChIP-seq) ÿ",H0509,GeneCard:HDAC1,HDAC1 (sc-6298)
Mxi1_(AF4185),"Goat polyclonal IgG affinity purified, raised against E. coli-derived rhMxi1. Antibody Target: MXI1",MXI1,"Transcriptional repressor. Binds with MAX to form recognize the core sequence 5'-CAC[GA]TG-3', antagonizes MYC transcriptional activity by competing for MAX",R&D Systems AF4185,Snyder,"Human - MXI1(Immunoprecipitation,IP-MassSpec)",ZIJ0107031,GeneCard:MXI1,MXI1 (AF4185)
,,,,,,"Mouse - MXI1(Immunoprecipitation,IP-MassSpec) ÿ",,,
PAX5-N19,Goat polyclonal IgG epitope mapping at the N-terminus of Pax-5 of human origin. Antibody Target: PAX5,PAX5,"This gene encodes a member of the paired box (PAX) family of transcription factors. The central feature of this gene family is a novel, highly conserved DNA-binding motif, known as the paired box. PAX proteins are important regulators in early development, and alterations in the expression of their genes are thought to contribute to neoplastic transformation.",Santa Cruz Biotechnology sc-1975,Myers,"Human - PAX5-N19(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",I070,GeneCard:PAX5,PAX5 (sc-1975)
TRIM37_(SC-49548),Goat polyclonal IgG raised against a peptide mapping at the C-terminus of TRIM37 of human origin. Antibody Target: TRIM37,TRIM37,"This gene encodes a member of the tripartite motif (TRIM) family, whose members are involved in diverse cellular functions such as developmental patterning and oncogenesis. The TRIM motif includes zinc-binding domains, a RING finger region, a B-box motif and a coiled-coil domain. The RING finger and B-box domains chelate zinc and might be involved in protein-protein and/or protein-nucleic acid interactions. The gene mutations are associated with mulibrey (muscle-liver-brain-eye) nanism, an autosomal recessive disorder that involves several tissues of mesodermal origin. Alternatively spliced transcript variants encoding the same protein have been identified. (provided by RefSeq)",Santa Cruz Biotechnology sc-49548,Myers,"Human - TRIM37 (sc-49548)(Western blot,IP-MassSpec) ÿ",F2507,GeneCard:TRIM37,TRIM37 (sc-49548)
PAX5-C20,"Goat polyclonal IgG, 200 micrograms/ml. Epitope mapping at the C-terminus of Pax-5 of human origin. Antibody Target: PAX5",PAX5,"This gene encodes a member of the paired box (PAX) family of transcription factors. The central feature of this gene family is a novel, highly conserved DNA-binding motif, known as the paired box. PAX proteins are important regulators in early development, and alterations in the expression of their genes are thought to contribute to neoplastic transformation.",Santa Cruz Biotechnology sc-1974,Myers,"Human - PAX5-C20(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",E1409,GeneCard:PAX5,PAX5 (sc-1974)
FOXA1_(SC-6553),"Goat polyclonal IgG, epitope mapping at the C-terminus of FOXA1 of human origin. Antibody Target: FOXA1",FOXA1,"This gene encodes a member of the forehead class of DNA-binding proteins. These hepatocyte nuclear factors are transcriptional activators for liver-specific transcripts such as albumin and transthyretin, and they also interact with chromatin. Similar family members in mice have roles in the regulation of metabolism and in the differentiation of the pancreas and liver (RefSeq).",Santa Cruz Biotechnology sc-6553,Myers,"Human - FOXA1(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",H1209,GeneCard:FOXA1,FOXA1 (sc-6553)
HDAC2_(SC-6296),"Goat polyclonal IgG, epitope mapping at the C-terminus of HDAC2 of human origin. Antibody Target: HDAC2",HDAC2,"This gene product belongs to the histone deacetylase family. Histone deacetylases act via the formation of large multiprotein complexes, and are responsible for the deacetylation of lysine residues at the N-terminal regions of core histones (H2A, H2B, H3 and H4). This protein forms transcriptional repressor complexes by associating with many different proteins, including YY1, a mammalian zinc-finger transcription factor. (provided by RefSeq)",Santa Cruz Biotechnology sc-6296,Myers,"Human - HDAC2 (sc-6296)(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",G0307,GeneCard:HDAC2,HDAC2 (sc-6296)
HNF4G_(SC-6558),"Goat polyclonal IgG, epitope mapping at the C-terminus of HNF4G of human origin. Antibody Target: HNF4G",HNF4G,"Hepatocyte nuclear factor 4 gamma (HNF4G) also known as NR2A2 (nuclear receptor subfamily 2, group A, member 2) is a nuclear receptor that in humans is encoded by the HNF4G gene",Santa Cruz Biotechnology sc-6558,Myers,"Human - HNF4G (sc-6558)(Western blot,IP-MassSpec) ÿ",I299,GeneCard:HNF4G,HNF4G (sc-6558)
IRF4_(SC-6059),"Goat polyclonal IgG, epitope mapping at the C-terminus of IRF-4 of mouse origin. Antibody Target: IRF4",IRF4,"The protein encoded by this gene belongs to the IRF (interferon regulatory factor) family. It functions as a lymphocyte specific transcription factor and negatively regulates TLR signaling by selectively competing with IRF5. A chromosomal translocation involving this gene and the IgH locus, t(6;14)(p25;q32), may be a cause of multiple myeloma (RefSeq).",Santa Cruz Biotechnology sc-6059,Myers,"Human - IRF4 (sc-6059)(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",IO1O6,GeneCard:IRF4,IRF4 (sc-6059)
ZBTB7A_(SC-34508),"Goat polyclonal IgG, epitope mapping at the C-terminus of LRF of human origin. Antibody Target: ZBTB7A",ZBTB7A,Plays a key role in the instruction of early lymphoid progenitors to develop into B lineage by repressing T-cell instructive Notch signals (By similarity).,Santa Cruz Biotechnology sc-34508,Myers,"Human - ZBTB7A SC-34508(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",H2406,GeneCard:ZBTB7A,ZBTB7A (sc-34508)
CTCF_(SC-5916),"Goat polyclonal IgG, epitope mapping at the N-terminus of CTCF of human origin. Antibody Target: CTCF",CTCF,This gene is a member of the BORIS + CTCF gene family and encodes a transcriptional regulator protein with 11 highly conserved zinc finger (ZF) domains. This nuclear protein is able to use different combinations of the ZF domains to bind different DNA target sequences and proteins. (provided by RefSeq),Santa Cruz Biotechnology sc-5916,Myers,Human - missing ÿ,K0902,GeneCard:CTCF,CTCF (sc-5916)
FOXA2_(SC-6554),"Goat polyclonal IgG, epitope mapping at the N-terminus of FOXA2 of human origin. Antibody Target: FOXA2",FOXA2,"The intronless gene for this transcription coactivator is located between the protocadherin beta and gamma gene clusters on chromosome 5. The protein encoded by this gene is a component of the TFIID protein complex, a complex which binds to the TATA box in class II promoters and recruits RNA polymerase II and other factors. This particular subunit interacts with the largest TFIID subunit, as well as multiple transcription activators. The protein is required for transcription by promoters targeted by RNA polymerase II. (provided by RefSeq)",Santa Cruz Biotechnology sc-6554,Myers,Human - missing ÿ,L1409,GeneCard:FOXA2,FOXA2 (sc-6554)
LEF1_(SC-8592),"Goat polyclonal IgG, epitope mapping near the C-terminus of LEF1 of human origin. Antibody Target: LEF1",LEF1,"This gene encodes a transcription factor belonging to a family of proteins that share homology with the high mobility group protein-1. The proteins encoded by this gene can bind to a functionally important site in the T-cell receptor-alpha enhancer, thereby conferring maximal enhancer activity (RefSeq).",Santa Cruz Biotechnology sc-8592,Myers,"Human - LEF1 (sc-8592)(Immunoprecipitation-Western blot,IP-MassSpec) ÿ",C2409,GeneCard:LEF1,LEF1 (sc-8592)
MEF2C_(SC-13268),"Goat polyclonal IgG, epitope mapping near the C-terminus of MEF2C of human origin. Antibody Target: MEF2C",MEF2C,"This locus encodes a member of the MADS box transcription enhancer factor 2 (MEF2) family of proteins, which play a role in myogenesis. The encoded protein, MEF2 polypeptide C, has both trans-activating and DNA binding activities. This protein may play a role in maintaining the differentiated state of muscle cells. Mutations and deletions at this locus have been associated with severe mental retardation, stereotypic movements, epilepsy, and cerebral malformation. Alternatively spliced transcript variants have been described. (provided by RefSeq)",Santa Cruz Biotechnology sc-13268,Myers,"Human - MEF2C (sc-13268)(Western blot,Motif Enrichment) ÿ",K2009,GeneCard:MEF2C,MEF2C (sc-13268)
THAP1_(SC-98174),"Goat polyclonal IgG, epitope mapping near the C-terminus of THAP1 of human origin. Antibody Target: THAP1",THAP1,"The protein encoded by this gene contains a THAP domain, a conserved DNA-binding domain. This protein colocalizes with the apoptosis response protein PAWR/PAR-4 in promyelocytic leukemia (PML) nuclear bodies, and functions as a proapoptotic factor that links PAWR to PML nuclear bodies. Alternatively spliced transcript variants encoding distinct isoforms have been observed. (provided by RefSeq)",Santa Cruz Biotechnology sc-98174,Myers,Human - missing ÿ,D1910,GeneCard:THAP1,THAP1 (sc-98174)
HNF4A,Goat polyclonal IgG. Antibody Target: HNF4A,HNF4A,Epitope mapping at the C-terminus of Rab 11 of human origin,Santa Cruz Biotechnology sc-6556,Snyder,Human - missing ÿ,,GeneCard:HNF4A,HNF4A (sc-6556)
SIX5,Goat polyclonal IgG. Six5 (K-20) Epitope mapping near the C-terminus of Six5 of human origin. Antibody Target: SIX5,SIX5,The protein encoded by this gene is a homeodomain-containing transcription factor that appears to function in the regulation of organogenesis. This gene is located downstream of the dystrophia myotonica-protein kinase gene. Mutations in this geneare a cause of branchiootorenal syndrome type 2.,Santa Cruz Biotechnology sc-55706,Myers,"Human - SIX5(Western blot,IP-MassSpec) ÿ",B1408,GeneCard:SIX5,SIX5 (sc-55706)
eGFP-BACH1,Goat polyclonal raised against e-GFP tagged transcription factor BACH1. Antibody Target: eGFP-BACH1,eGFP-BACH1,"This gene encodes a transcription factor that belongs to the cap'n'collar type of basic region leucine zipper factor family (CNC-bZip). The encoded protein contains broad complex, tramtrack, bric-a-brac/poxvirus and zinc finger (BTB/POZ) domains, which is atypical of CNC-bZip family members (provided by RefSeq)",Dr. Kevin White at University of Chicago eGFP-BACH1,White,"Human - eGFP(Western blot,Immunoprecipitation) ÿ",1,GeneCard:BACH1,BACH1 (eGFP-BACH1)
eGFP-CCNE1,Goat polyclonal raised against e-GFP tagged transcription factor CCNE1. Antibody Target: eGFP-CCNE1,eGFP-CCNE1,"The protein encoded by this gene belongs to the highly conserved cyclin family, whose members are characterized by a dramatic periodicity in protein abundance through the cell cycle. Cyclins function as regulators of CDK kinases. Different cyclins exhibit distinct expression and degradation patterns which contribute to the temporal coordination of each mitotic event. (provided by RefSeq)",Dr. Kevin White at University of Chicago eGFP-CCNE1,White,"Human - eGFP(Western blot,Immunoprecipitation) ÿ",1,GeneCard:CCNE1,CCNE1 (eGFP-CCNE1)
eGFP-CDKN1B,Goat polyclonal raised against e-GFP tagged transcription factor CDKN1B. Antibody Target: eGFP-CDKN1B,eGFP-CDKN1B,"This gene encodes a cyclin-dependent kinase inhibitor, which shares a limited similarity with CDK inhibitor CDKN1A/p21. The encoded protein binds to and prevents the activation of cyclin E-CDK2 or cyclin D-CDK4 complexes, and thus controls the cell cycle progression at G1 (provided by RefSeq)",Dr. Kevin White at University of Chicago eGFP-CDKN1B,White,"Human - eGFP(Western blot,Immunoprecipitation) ÿ",1,GeneCard:CDKN1B,CDKN1B (eGFP-CDKN1B)
