"","Gene","JASPAR_ID"
"AP1;MA0099.2","AP1","MA0099.2"
"Ar;MA0007.1","Ar","MA0007.1"
"Arnt::Ahr;MA0006.1","Arnt::Ahr","MA0006.1"
"Arnt;MA0004.1","Arnt","MA0004.1"
"CEBPA;MA0102.2","CEBPA","MA0102.2"
"CREB1;MA0018.2","CREB1","MA0018.2"
"CTCF;MA0139.1","CTCF","MA0139.1"
"Ddit3::Cebpa;MA0019.1","Ddit3::Cebpa","MA0019.1"
"E2F1;MA0024.1","E2F1","MA0024.1"
"EBF1;MA0154.1","EBF1","MA0154.1"
"ELF5;MA0136.1","ELF5","MA0136.1"
"ELK1;MA0028.1","ELK1","MA0028.1"
"ELK4;MA0076.1","ELK4","MA0076.1"
"ESR1;MA0112.2","ESR1","MA0112.2"
"ESR2;MA0258.1","ESR2","MA0258.1"
"EWSR1-FLI1;MA0149.1","EWSR1-FLI1","MA0149.1"
"Egr1;MA0162.1","Egr1","MA0162.1"
"En1;MA0027.1","En1","MA0027.1"
"Esrrb;MA0141.1","Esrrb","MA0141.1"
"Evi1;MA0029.1","Evi1","MA0029.1"
"FEV;MA0156.1","FEV","MA0156.1"
"FOXA1;MA0148.1","FOXA1","MA0148.1"
"FOXD1;MA0031.1","FOXD1","MA0031.1"
"FOXF2;MA0030.1","FOXF2","MA0030.1"
"FOXI1;MA0042.1","FOXI1","MA0042.1"
"FOXO3;MA0157.1","FOXO3","MA0157.1"
"Foxa2;MA0047.2","Foxa2","MA0047.2"
"Foxd3;MA0041.1","Foxd3","MA0041.1"
"Foxq1;MA0040.1","Foxq1","MA0040.1"
"GABPA;MA0062.2","GABPA","MA0062.2"
"Gata1;MA0035.2","Gata1","MA0035.2"
"Gfi;MA0038.1","Gfi","MA0038.1"
"HIF1A::ARNT;MA0259.1","HIF1A::ARNT","MA0259.1"
"HLF;MA0043.1","HLF","MA0043.1"
"HNF1A;MA0046.1","HNF1A","MA0046.1"
"HNF1B;MA0153.1","HNF1B","MA0153.1"
"HNF4A;MA0114.1","HNF4A","MA0114.1"
"Hand1::Tcfe2a;MA0092.1","Hand1::Tcfe2a","MA0092.1"
"INSM1;MA0155.1","INSM1","MA0155.1"
"IRF1;MA0050.1","IRF1","MA0050.1"
"IRF2;MA0051.1","IRF2","MA0051.1"
"Klf4;MA0039.2","Klf4","MA0039.2"
"Lhx3;MA0135.1","Lhx3","MA0135.1"
"MAX;MA0058.1","MAX","MA0058.1"
"MEF2A;MA0052.1","MEF2A","MA0052.1"
"MIZF;MA0131.1","MIZF","MA0131.1"
"MYC::MAX;MA0059.1","MYC::MAX","MA0059.1"
"MZF1_5-13;MA0057.1","MZF1_5-13","MA0057.1"
"Mafb;MA0117.1","Mafb","MA0117.1"
"Myb;MA0100.1","Myb","MA0100.1"
"Myc;MA0147.1","Myc","MA0147.1"
"Mycn;MA0104.2","Mycn","MA0104.2"
"Myf;MA0055.1","Myf","MA0055.1"
"NF-kappaB;MA0061.1","NF-kappaB","MA0061.1"
"NFATC2;MA0152.1","NFATC2","MA0152.1"
"NFE2L2;MA0150.1","NFE2L2","MA0150.1"
"NFIL3;MA0025.1","NFIL3","MA0025.1"
"NFKB1;MA0105.1","NFKB1","MA0105.1"
"NFYA;MA0060.1","NFYA","MA0060.1"
"NHLH1;MA0048.1","NHLH1","MA0048.1"
"NKX3-1;MA0124.1","NKX3-1","MA0124.1"
"NR1H2::RXRA;MA0115.1","NR1H2::RXRA","MA0115.1"
"NR2F1;MA0017.1","NR2F1","MA0017.1"
"NR3C1;MA0113.1","NR3C1","MA0113.1"
