"","Name","Genes (tot)","Stat (dist.dir)","p (dist.dir.up)","p adj (dist.dir.up)","p (dist.dir.dn)","p adj (dist.dir.dn)","Stat (non-dir.)","p (non-dir.)","p adj (non-dir.)","Genes (up)","Stat (mix.dir.up)","p (mix.dir.up)","p adj (mix.dir.up)","Genes (down)","Stat (mix.dir.dn)","p (mix.dir.dn)","p adj (mix.dir.dn)"
"1","9606: Alanine, aspartate...",16,-0.023227,0.7357,0.8403,0.2643,0.9747,0.040531,0.2576,0.99657,8,0.017304,0.2001,0.75816,8,0.063758,0.2098,0.9998
"2","9606: Amino sugar and...",28,0.004551,0.0762,0.4699,0.9238,0.9747,0.013834,0.9276,0.99657,18,0.014299,0.3237,0.77928,10,0.012996,0.9357,0.9998
"3","9606: Aminoacyl-tRNA...",22,0.0061556,0.0651,0.43795,0.9349,0.9747,0.0097304,0.9831,0.99657,15,0.01165,0.4855,0.90814,7,0.0056175,0.9908,0.9998
"4","9606: Arachidonic acid...",6,-0.004929,0.404,0.72917,0.596,0.9747,0.024578,0.3809,0.99657,4,0.014737,0.2457,0.75816,2,0.044261,0.2909,0.9998
"5","9606: Arginine and proline...",20,-0.0054293,0.2782,0.61529,0.7218,0.9747,0.021182,0.6045,0.99657,11,0.014321,0.3077,0.76925,9,0.029568,0.5486,0.9998
"6","9606: Ascorbate and...",3,-0.0076003,0.5725,0.81471,0.4275,0.9747,0.017082,0.4397,0.99657,1,0.014222,0.2584,0.75816,2,0.018512,0.5062,0.9998
"7","9606: Biosynthesis of...",11,-0.0015755,0.2286,0.60606,0.7714,0.9747,0.021762,0.4993,0.99657,7,0.01586,0.249,0.75816,4,0.032088,0.427,0.9998
"8","9606: Biotin metabolism",2,-0.011025,0.6624,0.82399,0.3376,0.9747,0.011025,0.5478,0.99657,0,NA,NA,NA,2,0.011025,0.6747,0.9998
"9","9606: Butanoate metabolism",10,-0.025465,0.7798,0.87432,0.2202,0.9747,0.036274,0.2382,0.99657,6,0.0090073,0.5829,0.93197,4,0.077174,0.1305,0.9998
"10","9606: Butirosin and...",1,-0.0070754,0.637,0.81515,0.3631,0.9747,0.0070754,0.603,0.99657,0,NA,NA,NA,1,0.0070754,0.6784,0.9998
