Source Name,Charateristics [ff_ontology],Charateristics [description],Characteristics [catalog_id],Characteristics [Category],Chracteristics [Species],Characteristics [Sex],Characteristics [Age],Characteristics [Developmental stage],Characteristics[Tissue],Characteristics [Cell lot],Characteristics [Cell type],Characteristics [Catalogue ID],Characteristics [Collaboration],Characteristics [Provider],Protocol REF,Extract Name,Material Type
10000-101A1,FF:10000-101A1,"Clontech Human Universal Reference Total RNA, pool1",9052727A,tissues,Human (Homo sapiens),mixed,,UNDEFINED,unclassifiable,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10000-101A1,Total RNA
10002-101A5,FF:10002-101A5,"SABiosciences XpressRef Human Universal Total RNA, pool1",B208251,tissues,Human (Homo sapiens),mixed,,UNDEFINED,unclassifiable,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),SABiosciences,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10002-101A5,Total RNA
10007-101B4,FF:10007-101B4,"Universal RNA - Human Normal Tissues Biochain, pool1",B208251,tissues,Human (Homo sapiens),mixed,,34-76 years old adult,unclassifiable,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10007-101B4,Total RNA
10010-101C1,FF:10010-101C1,"adipose tissue, adult, pool1",0910061 -1,tissues,Human (Homo sapiens),mixed,,"65,65,76 years old adult",adipose tissue,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10010-101C1,Total RNA
10011-101C2,FF:10011-101C2,"bladder, adult, pool1",0910061 -2,tissues,Human (Homo sapiens),mixed,,"55,58,79 years old adult",bladder,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10011-101C2,Total RNA
10012-101C3,FF:10012-101C3,"brain, adult, pool1",0910061 -3,tissues,Human (Homo sapiens),mixed,,"77,79,81 years old adult",brain,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10012-101C3,Total RNA
10013-101C4,FF:10013-101C4,"cervix, adult, pool1",0910061 -4,tissues,Human (Homo sapiens),female,,"40,46,57,65 years old adult",cervix,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10013-101C4,Total RNA
10014-101C5,FF:10014-101C5,"colon, adult, pool1",0910061 -5,tissues,Human (Homo sapiens),mixed,,"62,83,84 years old adult",colon,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10014-101C5,Total RNA
10015-101C6,FF:10015-101C6,"esophagus, adult, pool1",0910061 -6,tissues,Human (Homo sapiens),mixed,,"68,74,75 years old adult",esophagus,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10015-101C6,Total RNA
10016-101C7,FF:10016-101C7,"heart, adult, pool1",0910061 -7,tissues,Human (Homo sapiens),mixed,,"70,73,74 years old adult",heart,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10016-101C7,Total RNA
10017-101C8,FF:10017-101C8,"kidney, adult, pool1",0910061 -8,tissues,Human (Homo sapiens),female,,"60,62,63 years old adult",kidney,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10017-101C8,Total RNA
10018-101C9,FF:10018-101C9,"liver, adult, pool1",0910061 -9,tissues,Human (Homo sapiens),mixed,,"64,69,70 years old adult",liver,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Ambion,OP-RNA-extraction-totalRNA-ToTALLY-RNA-v1.0,10018-101C9,Total RNA
