Source Name,Charateristics [ff_ontology],Charateristics [description],Characteristics [catalog_id],Characteristics [Category],Chracteristics [Species],Characteristics [Sex],Characteristics [Age],Characteristics [Developmental stage],Characteristics[Tissue],Characteristics [Cell lot],Characteristics [Cell type],Characteristics [Catalogue ID],Characteristics [Collaboration],Characteristics [Provider],Protocol REF,Extract Name,Material Type
10001-101A3,FF:10001-101A3,"Clontech Mouse Universal Reference Total RNA, pool1",8092682,tissues,Mouse (Mus musculus),mixed,,UNDEFINED,whole body,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Clontech,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10001-101A3,Total RNA
10003-101A7,FF:10003-101A7,"SABiosciences XpressRef Mouse Universal Total RNA, pool1",A705103,tissues,Mouse (Mus musculus),mixed,,UNDEFINED,whole body,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),SABiosciences,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10003-101A7,Total RNA
10008-101B6,FF:10008-101B6,"Universal RNA - Mouse Normal Tissues Biochain, pool1",B307206,tissues,Mouse (Mus musculus),mixed,,6-8 weeks old adult,whole body,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),Biochain,OP-RNA-extraction-totalRNA-TRIzol-isopropanol-v1.0,10008-101B6,Total RNA
10101-102D2,FF:10101-102D2,"whole body, embryo E17.5, pool1 (internal control)",NA,qualitycontrol,Mouse (Mus musculus),,,17.5 days embryo,whole body,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),NA,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10101-102D2,Total RNA
10101-102D3,FF:10101-102D3,"whole body, embryo E17.5, pool1 (internal control)",NA,qualitycontrol,Mouse (Mus musculus),,,17.5 days embryo,whole body,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),NA,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10101-102D3,Total RNA
10101-102D4,FF:10101-102D4,"whole body, embryo E17.5, pool1 (internal control)",NA,qualitycontrol,Mouse (Mus musculus),,,17.5 days embryo,whole body,NA,CELL MIXTURE - tissue sample,NA,FANTOM5 OSC CORE (contact: Al Forrest),NA,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10101-102D4,Total RNA
10114-102E6,FF:10114-102E6,"cerebellum, embryo E11, biol_rep1 (E11R1)",,developmental,Mouse (Mus musculus),,,11 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10114-102E6,Total RNA
10115-102E7,FF:10115-102E7,"cerebellum, embryo E12, biol_rep1 (E12R1)",,developmental,Mouse (Mus musculus),,,12 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10115-102E7,Total RNA
10116-102E8,FF:10116-102E8,"cerebellum, embryo E13, biol_rep1 (E13R1)",,developmental,Mouse (Mus musculus),,,13 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10116-102E8,Total RNA
10117-102E9,FF:10117-102E9,"cerebellum, embryo E14, biol_rep1 (E14R1)",,developmental,Mouse (Mus musculus),,,14 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10117-102E9,Total RNA
10118-102F1,FF:10118-102F1,"cerebellum, embryo E15, biol_rep1 (E15R1)",,developmental,Mouse (Mus musculus),,,15 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10118-102F1,Total RNA
10119-102F2,FF:10119-102F2,"cerebellum, embryo E16, biol_rep1 (E16R1)",,developmental,Mouse (Mus musculus),,,16 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10119-102F2,Total RNA
10120-102F3,FF:10120-102F3,"cerebellum, embryo E17, biol_rep1 (E17R1)",,developmental,Mouse (Mus musculus),,,17 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10120-102F3,Total RNA
10121-102F4,FF:10121-102F4,"cerebellum, embryo E18, biol_rep1 (E18R1)",,developmental,Mouse (Mus musculus),,,18 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10121-102F4,Total RNA
10122-102F5,FF:10122-102F5,"cerebellum, neonate N00, biol_rep1 (P0R1)",,developmental,Mouse (Mus musculus),,,0 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10122-102F5,Total RNA
10123-102F6,FF:10123-102F6,"cerebellum, neonate N03, biol_rep1 (P3R1)",,developmental,Mouse (Mus musculus),,,3 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10123-102F6,Total RNA
10124-102F7,FF:10124-102F7,"cerebellum, neonate N06, biol_rep1 (P6R1)",,developmental,Mouse (Mus musculus),,,6 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10124-102F7,Total RNA
10125-102F8,FF:10125-102F8,"cerebellum, neonate N09, biol_rep1 (P9R1)",,developmental,Mouse (Mus musculus),,,9 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10125-102F8,Total RNA
10126-102F9,FF:10126-102F9,"cerebellum, embryo E11, biol_rep2 (E11R2)",,developmental,Mouse (Mus musculus),,,11 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10126-102F9,Total RNA
10127-102G1,FF:10127-102G1,"cerebellum, embryo E12, biol_rep2 (E12R2)",,developmental,Mouse (Mus musculus),,,12 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10127-102G1,Total RNA
10128-102G2,FF:10128-102G2,"cerebellum, embryo E13, biol_rep2 (E13R2)",,developmental,Mouse (Mus musculus),,,13 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10128-102G2,Total RNA
10129-102G3,FF:10129-102G3,"cerebellum, embryo E14, biol_rep2 (E14R2)",,developmental,Mouse (Mus musculus),,,14 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10129-102G3,Total RNA
10130-102G4,FF:10130-102G4,"cerebellum, embryo E15, biol_rep2 (E15R2)",,developmental,Mouse (Mus musculus),,,15 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10130-102G4,Total RNA
10131-102G5,FF:10131-102G5,"cerebellum, embryo E16, biol_rep2 (E16R2)",,developmental,Mouse (Mus musculus),,,16 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10131-102G5,Total RNA
10132-102G6,FF:10132-102G6,"cerebellum, embryo E17, biol_rep2 (E17R2)",,developmental,Mouse (Mus musculus),,,17 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10132-102G6,Total RNA
10133-102G7,FF:10133-102G7,"cerebellum, embryo E18, biol_rep2 (E18R2)",,developmental,Mouse (Mus musculus),,,18 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10133-102G7,Total RNA
10134-102G8,FF:10134-102G8,"cerebellum, neonate N00, biol_rep2 (P0R2)",,developmental,Mouse (Mus musculus),,,0 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10134-102G8,Total RNA
10135-102G9,FF:10135-102G9,"cerebellum, neonate N03, biol_rep2 (P3R2)",,developmental,Mouse (Mus musculus),,,3 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10135-102G9,Total RNA
10136-102H1,FF:10136-102H1,"cerebellum, neonate N06, biol_rep2 (P6R2)",,developmental,Mouse (Mus musculus),,,6 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10136-102H1,Total RNA
10137-102H2,FF:10137-102H2,"cerebellum, neonate N09, biol_rep2 (P9R2)",,developmental,Mouse (Mus musculus),,,9 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10137-102H2,Total RNA
10138-102H3,FF:10138-102H3,"cerebellum, embryo E11, biol_rep3 (E11R3)",,developmental,Mouse (Mus musculus),,,11 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10138-102H3,Total RNA
10139-102H4,FF:10139-102H4,"cerebellum, embryo E12, biol_rep3 (E12R3)",,developmental,Mouse (Mus musculus),,,12 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10139-102H4,Total RNA
10140-102H5,FF:10140-102H5,"cerebellum, embryo E13, biol_rep3 (E13R3)",,developmental,Mouse (Mus musculus),,,13 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10140-102H5,Total RNA
10141-102H6,FF:10141-102H6,"cerebellum, embryo E14, biol_rep3 (E14R3)",,developmental,Mouse (Mus musculus),,,14 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10141-102H6,Total RNA
10142-102H7,FF:10142-102H7,"cerebellum, embryo E15, biol_rep3 (E15R3)",,developmental,Mouse (Mus musculus),,,15 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10142-102H7,Total RNA
10143-102H8,FF:10143-102H8,"cerebellum, embryo E16, biol_rep3 (E16R3)",,developmental,Mouse (Mus musculus),,,16 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10143-102H8,Total RNA
10144-102H9,FF:10144-102H9,"cerebellum, embryo E17, biol_rep3 (E17R3)",,developmental,Mouse (Mus musculus),,,17 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10144-102H9,Total RNA
10145-102I1,FF:10145-102I1,"cerebellum, embryo E18, biol_rep3 (E18R3)",,developmental,Mouse (Mus musculus),,,18 days embryo,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10145-102I1,Total RNA
10146-102I2,FF:10146-102I2,"cerebellum, neonate N00, biol_rep3 (P0R3)",,developmental,Mouse (Mus musculus),,,0 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10146-102I2,Total RNA
10147-102I3,FF:10147-102I3,"cerebellum, neonate N03, biol_rep3 (P3R3)",,developmental,Mouse (Mus musculus),,,3 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10147-102I3,Total RNA
10148-102I4,FF:10148-102I4,"cerebellum, neonate N06, biol_rep3 (P6R3)",,developmental,Mouse (Mus musculus),,,6 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10148-102I4,Total RNA
10149-102I5,FF:10149-102I5,"cerebellum, neonate N09, biol_rep3 (P9R3)",,developmental,Mouse (Mus musculus),,,9 days neonate,cerebellum,,CELL MIXTURE - tissue sample,NA,Dan Goldowitz(University of British Columbia Canada),,,10149-102I5,Total RNA
10235-104A1,FF:10235-104A1,"visual cortex - wildtype, neonate N15, donor1",N/A,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10235-104A1,Total RNA
10236-104A2,FF:10236-104A2,"visual cortex - wildtype, neonate N15, donor2",N/A,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10236-104A2,Total RNA
10237-104A3,FF:10237-104A3,"visual cortex - wildtype, neonate N15, donor3",N/A,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10237-104A3,Total RNA
10238-104A4,FF:10238-104A4,"visual cortex - wildtype, neonate N30, donor1",N/A,tissues,Mouse (Mus musculus),male,P30,postnatal day 30,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10238-104A4,Total RNA
10239-104A5,FF:10239-104A5,"visual cortex - wildtype, neonate N30, donor2",N/A,tissues,Mouse (Mus musculus),male,P30,postnatal day 30,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10239-104A5,Total RNA
10240-104A6,FF:10240-104A6,"visual cortex - wildtype, neonate N30, donor3",N/A,tissues,Mouse (Mus musculus),male,P30,postnatal day 30,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10240-104A6,Total RNA
10241-104A7,FF:10241-104A7,"visual cortex - wildtype, neonate N60-70, donor1",N/A,tissues,Mouse (Mus musculus),male,P60-70,postnatal day 60-70,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10241-104A7,Total RNA
10242-104A8,FF:10242-104A8,"visual cortex - wildtype, neonate N60-70, donor2",N/A,tissues,Mouse (Mus musculus),male,P60-70,postnatal day 60-70,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10242-104A8,Total RNA
10243-104A9,FF:10243-104A9,"visual cortex - wildtype, neonate N60-70, donor3",N/A,tissues,Mouse (Mus musculus),male,P60-70,postnatal day 60-70,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10243-104A9,Total RNA
10244-104B1,FF:10244-104B1,"visual cortex - Mecp knockout, neonate N15, donor1",N/A,tissues,Mouse (Mus musculus),male,P15,postnatal day 15,Visual cortex,N/A,mixed,N/A,Michela Fagiolini/Alka Saxena/Piero Carninci,N/A,Total RNA Trizol Qiagen minElute,10244-104B1,Total RNA
